
Runs,SC Level,Mean
576,0,3.019738342231849e-02 

Runs,SC Level,Mean
3741,1,3.229604252406390e-02 

Runs,SC Level,Mean
12786,2,3.236540270779137e-02 

Runs,SC Level,Mean
34501,3,3.236685360175116e-02 

Runs,SC Level,Mean
80716,4,3.236685617861422e-02 

Runs,SC Level,Mean
169141,5,3.236685618069628e-02 
