
Runs,SC Level,Mean
6,0,9.999979741372235e-01 

Runs,SC Level,Mean
11,1,1.002602436420848e+00 

Runs,SC Level,Mean
16,2,1.002622983183186e+00 

Runs,SC Level,Mean
21,3,1.002620741179108e+00 

Runs,SC Level,Mean
26,4,1.002620768648419e+00 

Runs,SC Level,Mean
6,0,9.999979741372235e-01 

Runs,SC Level,Mean
11,1,1.002602436420848e+00 

Runs,SC Level,Mean
16,2,1.002622983183186e+00 

Runs,SC Level,Mean
21,3,1.002620741179108e+00 

Runs,SC Level,Mean
26,4,1.002620768648419e+00 
