
Runs,SC Level,Mean
9,0,1.148896185579986e+02 

Runs,SC Level,Mean
17,1,1.292324282226404e+02 

Runs,SC Level,Mean
25,2,1.321319492338612e+02 

Runs,SC Level,Mean
33,3,1.326577132725513e+02 

Runs,SC Level,Mean
41,4,1.327550286000831e+02 

Runs,SC Level,Mean
49,5,1.327733779490936e+02 

Runs,SC Level,Mean
57,6,1.327768861792661e+02 

Runs,SC Level,Mean
65,7,1.327775638714981e+02 

Runs,SC Level,Mean
73,8,1.327776958160972e+02 

Runs,SC Level,Mean
81,9,1.327777216722102e+02 
