
Runs,SC Level,Mean
37,0,1.149399771424996e+02 

Runs,SC Level,Mean
465,1,1.462590044392184e+02 

Runs,SC Level,Mean
1733,2,1.298654637267257e+02 

Runs,SC Level,Mean
4765,3,1.267744831176803e+02 

Runs,SC Level,Mean
9813,4,1.261927402567610e+02 

Runs,SC Level,Mean
17885,5,1.260828200573941e+02 

Runs,SC Level,Mean
29093,6,1.260617804226220e+02 
